"last_name","first_name","hire_date"
"Aamodt","Dietrich","1986-12-07"
"Aamodt","Fatemeh","1986-05-07"
"Aamodt","Valeri","1986-07-28"
"Aamodt","Arvind","1986-11-20"
"Aamodt","Mahmut","1986-04-10"
"Aamodt","Rajmohan","1986-05-22"
"Aamodt","Huican","1986-12-12"
"Aamodt","Shmuel","1986-05-27"
"Aamodt","Theron","1986-03-16"
"Aamodt","Jaideep","1986-07-16"
"Aamodt","Arumugam","1986-01-09"
"Aamodt","Moto","1986-05-29"
"Aamodt","Kazuhito","1986-12-02"
"Aamodt","Maik","1986-06-20"
"Aamodt","Luise","1986-07-27"
"Aamodt","Foong","1986-06-28"
"Aamodt","Menkae","1986-02-07"
"Aamodt","Somnath","1986-01-15"
"Aamodt","Parke","1986-11-04"
"Aamodt","Elzbieta","1986-04-29"
"Aamodt","Basant","1986-12-25"
"Aamodt","Marek","1986-01-31"
"Aamodt","Danco","1986-10-10"
"Aamodt","Salvador","1986-03-16"
"Aamodt","Qingxiang","1986-03-05"
"Acton","Oldrich","1986-01-14"
"Acton","Shaz","1986-08-10"
"Acton","Van","1986-08-06"
"Acton","Tremaine","1986-06-06"
"Acton","Kwee","1986-07-03"
"Acton","Margo","1986-07-25"
"Acton","Honesty","1986-12-22"
"Acton","Behnaam","1986-01-16"
"Acton","Volkmar","1986-10-17"
"Acton","Hairong","1986-05-15"
"Acton","Janalee","1986-12-28"
"Acton","Rance","1986-12-21"
"Acton","Hidde","1986-08-10"
"Acton","Ulises","1986-01-14"
"Acton","Kensei","1986-05-20"
"Acton","Bezalel","1986-05-21"
"Acton","Pragnesh","1986-11-04"
"Acton","Piyawadee","1986-01-13"
"Acton","Mayuko","1986-12-01"
"Acton","Shaz","1986-10-27"
"Acton","Katsuyuki","1986-12-25"
"Acton","Jixiang","1986-04-24"
"Acton","Xiahua","1986-07-07"
"Acton","Huiqun","1986-07-25"
"Adachi","Yongmin","1986-04-30"
"Adachi","Radhia","1986-12-19"
"Adachi","Jayesh","1986-12-05"
"Adachi","Giao","1986-11-04"
"Adachi","Subhrajyoti","1986-03-26"
"Adachi","Yannik","1986-01-10"
"Adachi","Houman","1986-05-04"
"Adachi","Tommaso","1986-01-16"
"Adachi","Kenroku","1986-06-18"
"Adachi","Zhenhua","1986-07-01"
"Adachi","Richard","1986-07-29"
"Adachi","Breannda","1986-04-29"
"Adachi","Zhaofang","1986-11-09"
"Adachi","Serif","1986-02-17"
"Adachi","Kerhong","1986-02-20"
"Adachi","Lucien","1986-09-25"
"Adachi","Marlo","1986-05-24"
"Adachi","Guoxiang","1986-05-26"
"Adachi","Changho","1986-09-09"
"Adachi","Hironoby","1986-12-21"
"Adachi","Masoud","1986-08-05"
"Adachi","Billur","1986-09-21"
"Adachi","Berhard","1986-04-14"
"Aingworth","Lene","1986-08-31"
"Aingworth","Giap","1986-08-08"
"Aingworth","Kazuhiko","1986-12-26"
"Aingworth","Kenton","1986-03-31"
"Aingworth","Foong","1986-03-19"
"Aingworth","Jiang","1986-07-12"
"Aingworth","Guiseppe","1986-07-16"
"Aingworth","Collette","1986-07-01"
"Aingworth","Lech","1986-08-16"
"Aingworth","Sajjad","1986-10-31"
"Aingworth","Phillip","1986-01-20"
"Aingworth","Wilmer","1986-05-21"
"Aingworth","Roded","1986-11-21"
"Aingworth","Wanqing","1986-11-28"
"Aingworth","Kiyokazu","1986-01-28"
"Aingworth","Erzsebet","1986-02-20"
"Aingworth","Mana","1986-04-26"
"Aingworth","Mohammad","1986-02-18"
"Aingworth","Shimshon","1986-04-13"
"Aingworth","Navin","1986-05-19"
"Akaboshi","Lidong","1986-07-26"
"Akaboshi","Yurij","1986-08-16"
"Akaboshi","Mooi","1986-05-31"
"Akaboshi","Bernice","1986-12-30"
"Akaboshi","Jacqueline","1986-07-27"
"Akaboshi","Mayuko","1986-04-27"
"Akaboshi","Margareta","1986-04-09"
"Akaboshi","Paris","1986-04-07"
