"first_name","last_name","sex"
"Hercules","Baer","M"
"Hercules","Biron","F"
"Hercules","Birge","F"
"Hercules","Berstel","F"
"Hercules","Bail","F"
"Hercules","Bodoff","M"
"Hercules","Benantar","F"
"Hercules","Basagni","M"
"Hercules","Bernardinello","F"
"Hercules","Bisiani","F"
"Hercules","Benzmuller","M"
"Hercules","Brendel","F"
"Hercules","Buchter","M"
"Hercules","Baak","M"
"Hercules","Bernatsky","M"
"Hercules","Baranowski","M"
"Hercules","Bahr","M"
"Hercules","Biran","F"
"Hercules","Bain","F"
"Hercules","Barreiro","M"
